id,dataReferencia,codIBGE,nomeIBGE,UFSigla,UFNome,valor,qtdBeneficiados
68810441,01/11/2016,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13851518.0,83584
70609861,01/12/2016,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13681214.0,83792
71410097,01/01/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12683244.0,80364
73910049,01/02/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13023031.0,81644
64907544,01/03/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12886632.0,81490
75207612,01/04/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12916863.0,81787
72708005,01/05/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12575427.0,79480
68608712,01/06/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12563397.0,79327
71908494,01/07/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12155679.0,75930
67408555,01/08/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12501304.0,78072
75909311,01/09/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12415295.0,77214
65109509,01/10/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12608654.0,78695
68310596,01/11/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12618924.0,77370
64710568,01/12/2017,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12782142.0,79163
75210095,01/01/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12984317.0,80959
66707529,01/02/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13214312.0,81831
72307940,01/03/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13330892.0,82987
63008446,01/04/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12400467.0,76884
72909021,01/05/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12420713.0,76848
75708301,01/06/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,11949954.0,74093
75508858,01/07/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12639744.0,73519
64409841,01/08/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12851306.0,74980
63309786,01/09/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12494225.0,72125
72010547,01/10/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13076889.0,74646
65707026,01/11/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13230081.0,75422
71907261,01/12/2018,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12720508.0,70924
63307444,01/01/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12013474.0,66650
62507269,01/02/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12182160.0,67199
73307746,01/03/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12650161.0,68326
69508161,01/04/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12428435.0,67769
69108783,01/05/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12836151.0,68582
65809070,01/06/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,13014762.0,67798
63409377,01/07/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12785097.0,66973
62609775,01/08/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12777293.0,67214
71010608,01/09/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12459837.0,65270
73009437,01/10/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12583058.0,65446
69210574,01/11/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12110463.0,61517
66307873,01/12/2019,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12284381.0,62034
67007738,01/01/2020,5300108,BRASÍLIA,DF,DISTRITO FEDERAL,12109549.0,61776
